id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione,nebbia_words_ratio,cancellazione_words_ratio,dubitative_ratio,n_lists_f,n_lists_m,n_lists_p,n_lists_s,text_length,n_generico_non_terrestre,n_generico_terrestre,n_inventato,n_no_ambientazione,n_nominato_non_terrestre,n_nominato_terrestre
S001,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
S002,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,36,228,4066,0,1,0,0,0,0
S003,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S004,0.000,1.000,0.000,0.000,0.000,0.000,0.18,0,100,0,0.15,0.18,0,0.07,4403,315,154,1307,19473,0,4,0,0,0,0
S005,0.000,1.000,0.000,0.000,0.000,0.000,0.11,0.3,33.33.00,67.07.00,0.39,0.06,0.06,0.07,0,0,0,0,0,0,3,0,0,0,0
S006,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,556,0,0,0,8291,0,2,0,0,0,0
S007,0.000,0.222,0.000,0.000,0.000,0.778,0,0.12,0,100,0.12,0,0.03,0.02,712,147,0,139,13175,0,3,0,0,0,6
S008,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,227,137,317,12532,0,6,0,0,0,0
S009,0.000,0.000,0.000,0.000,0.000,1.000,0.28,0,100,0,0.23,0.12,0,0.05,0,0,73,108,9042,0,0,0,0,0,1
S010,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,132,173,0,157,9702,0,3,0,0,0,0
S011,0.000,0.800,0.000,0.000,0.000,0.200,0,0,0,0,0,0,0,0,532,0,0,86,9240,0,4,0,0,0,1
S012,0.000,0.500,0.000,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0,125,165,0,7490,0,1,0,0,0,1
S013,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,520,0,131,184,7287,0,1,0,0,0,0
S014,0.000,0.800,0.000,0.000,0.000,0.200,0,0,0,0,0,0,0,0,0,0,0,252,13871,0,4,0,0,0,1
S015,0.000,1.000,0.000,0.000,0.000,0.000,0,0.17,0,100,0.17,0,0.03,0.02,439,0,0,0,9027,0,5,0,0,0,0
S016,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,218,0,193,194,10809,0,8,0,0,0,0
S017,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,144,0,0,8658,0,1,0,0,0,1
S018,0.000,1.000,0.000,0.000,0.000,0.000,0,0.16,0,100,0.16,0,0.03,0.02,1378,0,0,0,10063,0,3,0,0,0,0
S019,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,768,0,103,0,11326,0,6,0,0,0,0
