id	publication
V001	V001
S004	V002
S005	V002
S006	V002
S007	V002
S009	V002
S010	V002
S011	V002
S014	V002
S016	V002
S017	V002
S018	V002
S020	V002
S021	V002
S022	V002
S023	V002
S024	V002
S025	V002
S026	V002
S027	V002
S029	V002
S030	V002
S033	V002
S034	V002
S067	V002
S037	V002
S038	V002
S039	V002
S040	V002
S041	V002
S042	V002
S043	V002
V002	V002
V003	V003
S072	V004
V004	V004
S065	V004
S067	V004
V005	V005
S026	V006
S027	V006
S029	V006
S030	V006
S034	V006
S037	V006
S041	V006
S042	V006
S046	V006
S048	V006
S050	V006
S052	V006
S053	V006
S054	V006
S055	V006
S056	V006
S061	V006
S062	V006
S064	V006
S065	V006
S066	V006
S068	V006
S072	V006
S083	V006
S085	V006
S086	V006
S088	V006
S092	V006
S093	V006
S094	V006
S095	V006
S096	V006
S097	V006
S098	V006
S099	V006
S100	V006
S101	V006
S102	V006
S103	V006
S104	V006
V006	V006
S054	V007
V007	V007
V008	V008
V009	V009
S088	V010
V010	V010
S053	V011
S055	V011
S056	V011
S061	V011
S062	V011
S066	V011
S083	V011
S085	V011
S086	V011
S098	V011
S108	V011
S109	V011
S110	V011
S111	V011
S112	V011
S113	V011
S114	V011
S115	V011
S116	V011
S117	V011
V011	V011
S054	V012
S095	V012
V012	V012
S046	V012
S129	V013
S130	V013
S131	V013
S132	V013
S118	V013
S119	V013
S120	V013
S121	V013
V013	V013
S122	V013
S124	V013
S126	V013
S128	V013
S133	V014
S134	V014
S135	V014
S136	V014
S137	V014
S139	V014
S140	V014
S141	V014
S142	V014
S143	V014
S144	V014
V014	V014
S146	V015
S147	V015
S148	V015
V015	V015
S118	V015
S119	V015
S122	V015
S123	V015
S124	V015
S125	V015
S126	V015
S127	V015
S130	V015
S135	V015
S136	V015
S137	V015
S138	V015
S140	V015
S141	V015
S144	V015
S145	V015
V016	V016
S042	V017
S050	V017
S054	V017
S068	V017
S084	V017
S094	V017
S095	V017
S097	V017
S100	V017
S101	V017
S102	V017
S103	V017
S104	V017
S105	V017
S140	V017
V017	V017
V018	V018
S152	V019
V019	V019
V020	V020
V021	V021
S192	V022
S193	V022
S194	V022
S195	V022
S196	V022
S197	V022
S198	V022
S199	V022
S200	V022
S201	V022
V022	V022
S160	V022
S161	V022
S162	V022
S163	V022
S164	V022
S165	V022
S166	V022
S168	V022
S170	V022
S172	V022
S178	V022
S182	V022
S184	V022
S186	V022
S187	V022
S190	V022
S191	V022
S118	V023
S119	V023
S120	V023
S121	V023
S122	V023
S123	V023
S124	V023
S125	V023
S126	V023
S127	V023
S128	V023
S129	V023
S130	V023
S131	V023
S132	V023
S133	V023
S134	V023
S135	V023
S136	V023
S137	V023
S139	V023
S140	V023
S141	V023
S142	V023
S143	V023
S144	V023
S145	V023
S146	V023
S147	V023
V023	V023
S205	V023
S206	V023
